Unnamed: 0,ID,Case Number,Date,place,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3347408,10046773,HY235926,04/25/2015 08:40:00 PM,068XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),False,True,322,3.0,20.0,69.0,08B,1178342.0,1859705.0,2015,08/17/2015 03:03:40 PM,41.770338643,-87.621822976,"(41.770338643, -87.621822976)"
2954771,9293793,HW438747,09/04/2013 12:01:00 AM,001XX N LEAMINGTON AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,1532,15.0,28.0,25.0,26,1142030.0,1900353.0,2013,02/04/2016 06:33:39 AM,41.882630127,-87.753924794,"(41.882630127, -87.753924794)"
3361503,10071632,HY256460,05/11/2015 09:00:00 PM,113XX S ADA ST,0330,ROBBERY,AGGRAVATED,RESIDENTIAL YARD (FRONT/BACK),False,False,2234,22.0,34.0,75.0,03,1169366.0,1829351.0,2015,08/17/2015 03:03:40 PM,41.687241902,-87.655601347,"(41.687241902, -87.655601347)"
2891692,9194314,HW339126,06/18/2013 12:01:00 AM,071XX S MORGAN ST,0810,THEFT,OVER $500,VACANT LOT/LAND,False,False,733,7.0,17.0,68.0,06,1170880.0,1857424.0,2013,02/04/2016 06:33:39 AM,41.764245439,-87.649242063,"(41.764245439, -87.649242063)"
6081236,10580020,HZ328718,06/29/2016 05:05:00 PM,019XX E 73RD PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,333,3.0,5.0,43.0,08B,1190612.0,1856624.0,2016,07/23/2016 03:48:37 PM,41.761596782,-87.57694609,"(41.761596782, -87.57694609)"
6136827,10671581,HZ422871,09/06/2016 03:14:00 PM,003XX W 107TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,513,5.0,34.0,49.0,08B,1175915.0,1833970.0,2016,09/13/2016 03:55:40 PM,41.69977324,-87.63148859,"(41.69977324, -87.63148859)"
4065254,10451399,HZ190457,03/17/2016 10:27:00 AM,079XX S ESSEX AVE,2027,NARCOTICS,POSS: CRACK,ALLEY,True,False,422,4.0,7.0,46.0,18,1194232.0,1852904.0,2016,03/24/2016 03:46:07 PM,41.751300702,-87.563800652,"(41.751300702, -87.563800652)"
2880884,9177084,HW322084,06/17/2013 02:05:00 AM,046XX S PAULINA ST,2022,NARCOTICS,POSS: COCAINE,SIDEWALK,True,False,924,9.0,20.0,61.0,18,1165791.0,1873869.0,2013,02/04/2016 06:33:39 AM,41.809482121,-87.667427706,"(41.809482121, -87.667427706)"
3442276,10213492,HY399564,08/04/2015 09:00:00 AM,120XX S HARVARD AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,523,5.0,34.0,53.0,11,1176123.0,1825073.0,2015,08/31/2015 03:43:09 PM,41.675353871,-87.630992582,"(41.675353871, -87.630992582)"
2723190,8921722,HV593632,12/07/2012 02:00:00 PM,008XX W LELAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1914,19.0,46.0,3.0,14,1169799.0,1931426.0,2012,02/04/2016 06:33:39 AM,41.967336247,-87.651048492,"(41.967336247, -87.651048492)"
3042705,9438416,HW557289,12/03/2013 04:32:00 PM,035XX W GRENSHAW ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,1133,11.0,24.0,29.0,18,1152890.0,1894828.0,2013,02/04/2016 06:33:39 AM,41.867260807,-87.714192616,"(41.867260807, -87.714192616)"
3007650,9380579,HW523534,11/05/2013 12:49:00 PM,055XX N MASON AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,1622,16.0,45.0,11.0,26,1135554.0,1936505.0,2013,02/04/2016 06:33:39 AM,41.981952756,-87.776843563,"(41.981952756, -87.776843563)"
2869374,9158007,HW303524,06/03/2013 07:00:00 PM,039XX N WHIPPLE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1733,17.0,33.0,16.0,07,1155351.0,1926021.0,2013,02/04/2016 06:33:39 AM,41.95280802,-87.704318096,"(41.95280802, -87.704318096)"
3026442,9410779,HW554327,12/01/2013 02:00:00 AM,003XX E 21ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,132,1.0,2.0,33.0,14,1178551.0,1890317.0,2013,02/04/2016 06:33:39 AM,41.854335843,-87.620125605,"(41.854335843, -87.620125605)"
6144823,10683899,HZ436814,09/16/2016 02:25:00 PM,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1833,18.0,42.0,8.0,06,1177338.0,1906213.0,2016,09/23/2016 03:50:53 PM,41.897982937,-87.624095634,"(41.897982937, -87.624095634)"
3396615,10132166,HY320832,06/29/2015 03:26:00 PM,072XX S MERRILL AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,True,333,3.0,5.0,43.0,24,1191813.0,1857208.0,2015,08/17/2015 03:03:40 PM,41.763170261,-87.572525457,"(41.763170261, -87.572525457)"
